Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,Close,High,Low,Open,Volume
08-06-2021,119.351387,120.4003728,119.1692591,120.0266635,24240000
09-06-2021,119.8241348,120.0699536,119.2747594,119.997804,17942000
10-06-2021,121.1771545,121.2204504,119.6171158,119.7733665,25904000
11-06-2021,120.931839,121.5050947,120.372509,121.4195054,21958000
14-06-2021,121.8628922,121.8633857,120.3247441,121.034349,22098000
15-06-2021,120.8417587,122.1913018,120.4799859,121.8673501,21562000
16-06-2021,120.1978455,121.3060497,118.9015451,120.9935408,26472000
17-06-2021,121.1642151,121.9395078,119.9266322,120.1231946,25842000
18-06-2021,119.5394897,121.0243873,119.4439459,120.7895102,46116000
21-06-2021,121.2328873,121.4194951,119.3279931,119.9271336,27414000
22-06-2021,121.7484283,121.8176014,120.4879598,121.1706927,22390000
23-06-2021,121.5458984,122.5097884,121.2547945,121.5125572,19148000
24-06-2021,121.9171143,122.4699673,121.7180689,122.1161596,21362000
25-06-2021,121.9255829,122.0494946,120.9865755,121.4195033,34594000
28-06-2021,121.9529572,122.2007729,120.8278355,122.0947733,28526000
29-06-2021,121.6907043,122.4356475,121.111974,122.0868132,23108000
30-06-2021,121.5085678,121.6752741,120.7770645,121.4140186,24474000
01-07-2021,121.8618927,122.0037089,120.9532349,121.1458109,18110000
02-07-2021,124.661499,124.8073016,122.4739595,122.5640288,25982000
06-07-2021,125.5895691,125.8264356,123.9897121,125.0506418,26404000
07-07-2021,125.8722076,126.6783511,125.5527359,126.5569375,24060000
08-07-2021,124.4490128,124.997887,123.4318801,123.4358589,23790000
09-07-2021,124.921257,125.1362251,123.9588554,124.4301054,18632000
12-07-2021,126.3713303,126.4648848,125.0133208,125.5776243,17668000
13-07-2021,126.7355804,127.4481694,126.0717544,126.4340208,19240000
14-07-2021,127.6268234,128.7111474,127.3058558,127.3491516,23742000
15-07-2021,126.4006805,128.0876151,125.9279422,128.0368628,24218000
16-07-2021,126.3658447,127.20334,125.553232,127.055548,20424000
19-07-2021,123.9852371,125.6044945,122.917337,125.4895426,27968000
20-07-2021,125.6089706,126.4385008,123.758815,124.9302089,26312000
21-07-2021,126.9421005,126.988874,125.4238541,125.5333313,20746000
22-07-2021,127.8104248,127.8716403,126.8923213,127.2356809,14302000
23-07-2021,132.3820801,132.7642556,129.1828827,129.8098746,41506000
26-07-2021,133.3972473,133.598282,131.6719903,132.6941117,30572000
27-07-2021,131.2723846,133.759502,129.4849404,133.61171,54710000
